Timestamp	Please list the courses (Level 8) on your CAO Application.	[RECOMMENDATION SET 1] Please take some time to look at your college course Recommendations.	[RECOMMENDATION SET 2] Please take some time to look at your college course Recommendations.	[RECOMMENDATION SET 1] How much would you agree with the following statement?  The courses recommended from set 1 offered a diverse variety of choices (e.g. different fields of study, colleges, etc.)	[RECOMMENDATION SET 2] How much would you agree with the following statement?  The courses recommended from set 2 offered a diverse variety of choices (e.g. different fields of study, colleges, etc.)	[RECOMMENDATION SET 1] How much would you agree with the following statement?  I trust that the system recommended courses from set 1 that are well-suited to my interests and preferences.	[RECOMMENDATION SET 2] How much would you agree with the following statement?  I trust that the system recommended courses from set 2 that are well-suited to my interests and preferences.	Any feedback?
29/01/2026 15:46:36	1. TR033 Computer Science 2. DN201 Computer Science (Common Entry) 3. TR031 Mathematics 4. DC121 Computer Science 5. TU856 Computer Science 6. CK401 Computer Science 7. SE600 Computer Science	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course	Recommendation 2 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	5	5	5	2	
04/02/2026 12:17:54	1.  TR033 Computer Science 2.  DN201 Computer Science (Common Entry) 3.  TR031 Mathematics 4.  DN200 Science (options) 5.  TU856 Computer Science 6.  DN230 Actuarial and Financial Studies 7.  TR035 Theoretical Physics 8.  TR034 Management Science and Information Systems Studies 9.  DC121 Computer Applications 10.  TR032 Engineering	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 1 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course	5	3	4	2	Brendan was here :)
04/02/2026 14:53:15	1.  TR033 Computer Science 2.  DN201 Computer Science (Common Entry) 3.  DC121 Computer Science 4.  TU856 Computer Science 5.  DN150 Engineering (Common Entry) 6.  TR032 Engineering 7.  DC200 Common Entry into Engineering (Undenominated Entry) 8.  TU805 Engineering (General Entry) 9.  TR039 Computer Science, Linguistics and a Language 10.  TR031 Mathematics	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 2 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course	3	4	4	3	Could do with some light refreshments or snacks along the way
04/02/2026 16:49:35	1.  SE714 Aerospace Engineering [Carlow] 2.  TU828 Mechanical Engineering (General Entry) [Tallaght] 3.  TU801 Sustainable Energy Engineering [Tallaght] 4.  MH204 Physics with Astrophysics 5.  TU831 Architectural Technology [Bolton Street] 6.  MH201 Science 7.  TU877 Physics Technology [Grangegorman] 8.  TU878 Physics with Energy and Environment [Grangegorman] 9.  TU837 Quantity Surveying and Construction Economics [Bolton Street] 10.  MH101 Arts	Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	Recommendation 3 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	5	2	4	2	
05/02/2026 11:12:43	1.  TR052 Dental Science 2.  CK702 Dentistry 3.  TR053 Physiotherapy 4.  RC004 Physiotherapy 5.  DN420 Physiotherapy 6.  TU870 Human Nutrition and Dietetics 7.  TR055 Radiation Therapy 8.  DC203 Science Education 9.  MH212 Science|Maths and Computer Science|Mathematics (with Education)	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course	4	5	5	3	
05/02/2026 14:38:00	1.  TR033 Computer Science 2.  DC121 Computer Science 3.  MH601 Computer Science through Arts (options) 4.  TR241 Computer Science/Linguistics 5.  MH603 Computational Thinking	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course		4	4	4	1	
05/02/2026 15:17:40	1.  TR033 Computer Science 2.  DC121 Computer Science 3.  DC123 Data Science	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	Recommendation 2 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	3	5	4	2	
05/02/2026 15:46:08	1.  TR033 Computer Science 2.  DN201 Computer Science (Common Entry) 3.  TR032 Engineering 4.  DC121 Computer Science 5.  TU856 Computer Science 6.  GY350 Computer Science and Information Technology	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course	Recommendation 7 - I would realistically consider studying this college course	3	5	5	1	
06/02/2026 10:55:25	1.  TR033 Computer Science 2.  DC121 Computer Science 3.  TU856 Computer Science 4.  LM121 Computer Science (Computer Systems/Games Dev/Mobile Comm Security)	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course	Recommendation 10 - I would realistically consider studying this college course	3	5	5	1	
06/02/2026 12:34:26	1.  TR188 Computer Science/Business Studies 2.  TR033 Computer Science 3.  DN201 Computer Science (Common Entry) 4.  LM121 Computer Science (Computer Systems/Games Dev/Mobile Comm Security) 5.  GY350 Computer Science and Information Technology	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course		4	2	4	1	
