timestamp	actual_college_course_recommendation_1	actual_college_course_recommendation_2	actual_college_course_recommendation_3	actual_college_course_recommendation_4	actual_college_course_recommendation_5	actual_college_course_recommendation_6	actual_college_course_recommendation_7	actual_college_course_recommendation_8	actual_college_course_recommendation_9	actual_college_course_recommendation_10	actual_college_course_recommendation_11	actual_college_course_recommendation_12	actual_college_course_recommendation_13	actual_college_course_recommendation_14	actual_college_course_recommendation_15	actual_college_course_recommendation_16	actual_college_course_recommendation_17	actual_college_course_recommendation_18	actual_college_course_recommendation_19	actual_college_course_recommendation_20	baseline_college_course_recommendation_1	baseline_college_course_recommendation_2	baseline_college_course_recommendation_3	baseline_college_course_recommendation_4	baseline_college_course_recommendation_5	baseline_college_course_recommendation_6	baseline_college_course_recommendation_7	baseline_college_course_recommendation_8	baseline_college_course_recommendation_9	baseline_college_course_recommendation_10	baseline_college_course_recommendation_11	baseline_college_course_recommendation_12	baseline_college_course_recommendation_13	baseline_college_course_recommendation_14	baseline_college_course_recommendation_15	baseline_college_course_recommendation_16	baseline_college_course_recommendation_17	baseline_college_course_recommendation_18	baseline_college_course_recommendation_19	baseline_college_course_recommendation_20
25/01/2026 16:36:46	RC001 Medicine	DC003 Education - Primary Teaching - Gaeltacht Applicants	TR009 Music Education	TR025 Drama and Theatre Studies	DC014 Jazz and Contemporary Music Performance																TR051 Medicine	TR009 Music Education	DC014 Jazz and Contemporary Music Performance	TR025 Drama and Theatre Studies	DC003 Education - Primary Teaching - Gaeltacht Applicants															
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
25/01/2026 19:30:29	TR031 Mathematics	DN520 Statistics	TR035 Theoretical Physics	DN200 Science, Mathematics & Education	DN201 Computer Science	DN700 CSS Computational Social Science	DN250 Agricultural Systems Technology - Agricultural Science	TR197 Computer Science/Economics	TR009 Music Education	DN760 EGA Education (Education and Gaeilge)	DN760 EML Education (Education and Modern Languages)	DN400 Medicine	DN300 Veterinary Medicine	TR054 Occupational Therapy	TR911 Children's and General Nursing (Integrated)	TR060 Biological and Biomedical Sciences	DN262 Human Nutrition	RC006 Advanced Therapeutic Technologies	DN261 Food Science	TR006 Psychology	TR051 Medicine	TR009 Music Education	TR072 Pharmacy	DN440 Biomedical, Health and Life Sciences	TR018 Law and French	DN300 Veterinary Medicine	TR015 Philosophy, Political Science, Economics and Sociology	TR031 Mathematics	DN420 Physiotherapy	TR032 Engineering	TR006 Psychology	TR035 Theoretical Physics	TR024 European Studies	TR090 Business Studies and Spanish	DN100 Architecture	DN650 Commerce	DN410 Radiography	DN200 Chemistry	DN200 Earth and Environmental Sciences	TR443 History/History of Art and Architecture
