major_category	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	0.3432	0.6538	0.4498	0.5478	0.3575	0.3804
arts	0.2637	0.4866	0.6427	0.5372	0.3454	0.2623
biology & life science	0.2794	0.7409	0.4652	0.5733	0.322	0.3183
business	0.2992	0.4287	0.4571	0.5805	0.5138	0.4846
communications & journalism	0.2115	0.4237	0.5742	0.5979	0.4137	0.2875
computers & mathematics	0.3531	0.5252	0.4704	0.5109	0.3744	0.4666
education	0.2268	0.4408	0.4883	0.6821	0.3844	0.3291
engineering	0.4604	0.5375	0.4837	0.5249	0.4196	0.4378
health	0.2411	0.6307	0.4158	0.633	0.3526	0.3139
humanities & liberal arts	0.2463	0.4963	0.5555	0.5977	0.3732	0.3141
industrial arts & consumer services	0.3014	0.4758	0.4802	0.6491	0.4165	0.3229
law & public policy	0.2684	0.4645	0.4619	0.6021	0.4064	0.348
physical sciences	0.3063	0.6252	0.4601	0.5683	0.3478	0.3508
psychology & social work	0.2065	0.5173	0.4749	0.6841	0.3606	0.3079
social science	0.2557	0.4755	0.4876	0.5855	0.4047	0.3509
