major_category	major_preprocessed	major_original	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	anim scienc	Animal Science	0.34375	0.65625	0.46875	0.53125	0.1875	0.46875
agriculture & natural resources	anim scienc	Animal Science	0.40625	0.84375	0.375	0.375	0.125	0.125
agriculture & natural resources	biolog agricultur engin	Biological and Agricultural Engineering	0.09375	0.71875	0.625	0.75	0.3125	0.25
agriculture & natural resources	anim scienc	Animal Science	0.09375	0.875	0.75	0.40625	0.0625	0.125
agriculture & natural resources	anim scienc	Animal Science	0.53125	0.78125	0.6875	0.71875	0.5	0.5
agriculture & natural resources	agricultur	agriculture	0.46875	0.75	0.5	0.5	0.46875	0.8125
agriculture & natural resources	agricultur	agriculture	1.0	0.9375	0.25	0.3125	0.0625	0.65625
agriculture & natural resources	agricultur	agriculture	0.03125	0.4375	0.15625	0.78125	0.4375	0.71875
agriculture & natural resources	agricultur	Agriculture 	0.03125	0.4375	0.125	0.34375	0.125	0.375
agriculture & natural resources	agricultur	agriculture	0.46875	0.71875	0.4375	0.53125	0.40625	0.125
agriculture & natural resources	human health plant scienc	Human Health & Plant Science	0.40625	0.84375	0.75	0.84375	0.71875	0.5625
agriculture & natural resources	anim scienc	Animal science	0.40625	0.75	0.0	0.59375	0.125	0.5
agriculture & natural resources	food scienc	Food Science	0.125	0.625	0.40625	0.25	0.28125	0.3125
agriculture & natural resources	anim scienc	animal science	0.0	0.75	0.0	0.0	0.375	0.0
agriculture & natural resources	scienc agricultur	Bsc. Agri 	0.28125	0.90625	0.75	0.84375	0.5625	0.75
agriculture & natural resources	food scienc	food science	0.03125	0.53125	0.46875	0.84375	0.21875	0.15625
agriculture & natural resources	agricultur scienc	Agricultural Science	0.0	0.125	0.0625	0.375	0.03125	0.0625
agriculture & natural resources	forestri	Forestry	0.15625	0.65625	0.1875	0.53125	0.15625	0.4375
agriculture & natural resources	food scienc	Food science	0.3125	0.75	0.28125	0.28125	0.3125	0.53125
agriculture & natural resources	agricultur scienc inform technolog	Agricultural Science and IT	0.125	0.9375	0.75	0.84375	0.125	0.1875
agriculture & natural resources	anim scienc	animal sciences	0.40625	0.78125	0.625	0.5	0.25	0.28125
agriculture & natural resources	food scienc	food science	0.09375	0.28125	0.3125	0.78125	0.6875	0.3125
agriculture & natural resources	agricultur	Agriculture	0.09375	0.0625	0.125	0.09375	0.09375	0.1875
agriculture & natural resources	agricultur	Agriculture	0.46875	0.78125	0.03125	0.5	0.53125	0.8125
agriculture & natural resources	forestri	Forestry	0.25	0.25	0.5	0.1875	0.0625	0.25
agriculture & natural resources	food scienc	food science	0.25	0.28125	0.625	0.46875	0.59375	0.1875
agriculture & natural resources	anim scienc	Animal Science	0.0	0.84375	0.0	0.5	0.0625	0.0
agriculture & natural resources	agricultur	agriculture 	0.875	1.0	0.1875	0.1875	0.34375	0.25
agriculture & natural resources	anim scienc	Animal Science	0.125	1.0	0.75	0.78125	0.375	0.4375
agriculture & natural resources	agricultur	agriculture	0.4375	0.6875	0.65625	0.90625	0.71875	0.5
agriculture & natural resources	food scienc	Food Science	0.5625	0.53125	0.6875	0.8125	0.5625	0.21875
agriculture & natural resources	anim scienc	Animal science	0.125	0.90625	0.40625	0.375	0.125	0.03125
agriculture & natural resources	nutrit food scienc	Nutrition and food science	0.15625	0.59375	0.40625	0.28125	0.0625	0.21875
agriculture & natural resources	agricultur engin	agricultural engineering	0.6875	0.53125	0.90625	0.78125	0.90625	0.625
agriculture & natural resources	agricultur	agriculture	0.5	0.75	0.875	0.75	0.25	0.125
agriculture & natural resources	forestri	forestry	0.25	1.0	0.6875	0.71875	0.15625	0.125
agriculture & natural resources	anim scienc	animal science	0.34375	0.8125	0.90625	0.71875	0.25	0.28125
agriculture & natural resources	water engin agricultur	water engineering-agriculture	0.25	0.0625	0.8125	0.5625	0.625	0.21875
agriculture & natural resources	food scienc	Food science	0.3125	0.75	0.40625	0.53125	0.40625	0.1875
agriculture & natural resources	agricultur	agriculture	0.0	0.40625	0.09375	0.59375	0.09375	0.03125
agriculture & natural resources	natur resourc	Natural Resources	0.90625	0.75	0.96875	0.75	0.46875	0.96875
agriculture & natural resources	agricultur	agriculture	0.5625	0.375	0.65625	0.34375	0.40625	0.34375
agriculture & natural resources	anim scienc	Animal Science	0.5625	0.875	0.09375	0.625	0.1875	0.625
agriculture & natural resources	food sinc	Food since 	0.34375	0.8125	0.375	0.5625	0.4375	0.53125
agriculture & natural resources	forestri	Forestry	0.21875	0.8125	0.375	0.0	0.0	0.21875
agriculture & natural resources	anim scienc	Animal Sciences	0.5	0.8125	0.6875	0.5625	0.4375	0.5
