major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	inform technolog	Information Technology	0.875	0.4375	0.625	0.65625	0.5625	0.875
	languag	languages	0.53125	0.6875	0.65625	0.25	0.375	0.625
	institut kitchen servic	institute kitchen services	0.65625	0.875	0.65625	0.625	0.28125	0.6875
	culinari	Culinary	0.0	0.25	0.125	0.375	0.25	0.625
	electroniqu	Electronique	0.625	0.1875	0.0625	0.75	0.6875	0.3125
	inform technolog	IT	0.125	0.34375	0.5625	0.84375	0.78125	0.875
	ge	ge	0.4375	0.375	0.28125	0.4375	0.6875	0.78125
	electron	electronics	0.4375	0.5	0.6875	0.625	0.625	0.4375
	hospit	hospitality	0.0625	0.21875	0.25	0.40625	0.65625	0.3125
	drama	Drama	0.21875	0.71875	0.75	0.8125	0.34375	0.0625
	pedagogi	pedagogy	0.46875	0.34375	0.25	0.53125	0.59375	0.40625
	inform technolog	Information Technology	0.1875	0.34375	0.21875	0.21875	0.25	0.6875
	n	N/a 	0.09375	0.0	0.3125	0.6875	0.71875	0.75
	insur	Insurance	0.25	0.34375	0.4375	0.5	0.28125	0.25
	kineasiolog	kineasiology	0.5	0.84375	0.09375	0.4375	0.125	0.0
	undecid	Undecided	0.0625	0.1875	0.96875	0.8125	0.59375	0.1875
	occup therapi	Occupational Therapy	0.53125	0.8125	0.4375	0.65625	0.625	0.59375
	electron	Electronics	0.53125	0.8125	0.53125	0.84375	0.21875	0.8125
	bioengen	Bioengeneering 	0.59375	1.0	0.9375	0.34375	0.34375	0.40625
	leadership	leadership	0.15625	0.5625	0.875	0.53125	0.1875	0.0
	undeclar	undeclared	0.03125	0.0625	0.5	0.65625	0.71875	0.59375
	undecid	Undecided	0.375	0.46875	0.375	0.5625	0.40625	0.40625
	film	Film	0.0	0.0	0.375	0.03125	0.1875	0.0625
	simul anim game	Simulation, Animation, and Gaming	0.5625	0.59375	0.53125	0.59375	0.625	0.5625
	teacher	teacher	0.0	0.0	0.4375	0.75	0.3125	0.0
	comput	COMPUTERS	0.46875	0.84375	0.53125	0.125	0.125	0.03125
	psycholgi film	psycholgy and film	0.15625	0.625	0.625	0.75	0.125	0.21875
