college_major	college_major_preprocessed	number_of_exact_college_major_matches	college_major_category	college_major_category_preprocessed
acting	act	31	arts	art
animation	anim	66	arts	art
art and design	art design	41	arts	art
commercial art	commerci art	3	arts	art
dance	danc	57	arts	art
design	design	345	arts	art
drama	drama	43	arts	art
fashion	fashion	47	arts	art
fashion design	fashion design	69	arts	art
fashion merchandising	fashion merchandis	64	arts	art
film studies	film	146	arts	art
fine arts	fine art	240	arts	art
graphic design	graphic design	280	arts	art
interior design	interior design	94	arts	art
music	music	496	arts	art
performing arts	perform art	33	arts	art
photography	photographi	97	arts	art
product design	product design	21	arts	art
studio arts	studio art	43	arts	art
theater	theater	49	arts	art
visual arts	visual art	37	arts	art
writing	write	75	arts	art
accounting	account	1640	business	busi
accounting and finance	account financ	67	business	busi
actuarial science	actuari	60	business	busi
administration	administr	101	business	busi
business administration	busi administr	934	business	busi
business management	busi manag	768	business	busi
e-commerce	commerc	289	business	busi
entrepreneurship	entrepreneurship	36	business	busi
finance	financ	798	business	busi
human resources	human resourc	423	business	busi
human resources management	human resourc manag	232	business	busi
international business	intern busi	139	business	busi
logistics	logist	36	business	busi
management	manag	916	business	busi
management information systems 	manag inform system	28	business	busi
marketing	market	928	business	busi
operations management	oper manag	13	business	busi
advertising	advertis	91	communications	communic
journalism	journal	379	communications	communic
mass media	media	133	communications	communic
public relations	public relat	84	communications	communic
computer information systems	comput inform system	46	computers & mathematics	comput mathemat
computer networking	comput network	24	computers & mathematics	comput mathemat
computer science	comput	1485	computers & mathematics	comput mathemat
computer systems	comput system	6	computers & mathematics	comput mathemat
cyber security	cyber secur	52	computers & mathematics	comput mathemat
information science	inform	26	computers & mathematics	comput mathemat
information systems	inform system	81	computers & mathematics	comput mathemat
information technology	inform technolog	564	computers & mathematics	comput mathemat
mathematics	mathemat	912	computers & mathematics	comput mathemat
programming	program	58	computers & mathematics	comput mathemat
software engineering	softwar engin	134	computers & mathematics	comput mathemat
statistics	statist	79	computers & mathematics	comput mathemat
telecommunications	telecommun	17	computers & mathematics	comput mathemat
adult education	adult educ	16	education	educ
art education	art educ	36	education	educ
drama education	drama educ	0	education	educ
early childhood education	childhood educ	176	education	educ
educational administration	educ administr	15	education	educ
elementary education	elementari educ	167	education	educ
english education	english educ	61	education	educ
health education	health educ	9	education	educ
history education	histori educ	20	education	educ
language education	languag educ	4	education	educ
library science	librari	37	education	educ
mathematics education	mathemat educ	25	education	educ
music education	music educ	93	education	educ
physical education	physic educ	84	education	educ
psychology education	psycholog educ	45	education	educ
science education	educ	2341	education	educ
secondary education	secondari educ	20	education	educ
social science education	social educ	11	education	educ
special education	special educ	88	education	educ
aeronautical engineering	aeronaut engin	50	engineering	engin
aerospace engineering	aerospac engin	79	engineering	engin
agricultural engineering	agricultur engin	11	engineering	engin
architectural engineering	architectur engin	23	engineering	engin
architecture	architectur	551	engineering	engin
aviation studies	aviat	61	engineering	engin
biological engineering	biolog engin	17	engineering	engin
biomedical engineering	biomed engin	103	engineering	engin
biotechnology	biotechnolog	97	engineering	engin
chemical engineering	chemic engin	433	engineering	engin
civil engineering	civil engin	1134	engineering	engin
computer engineering	comput engin	337	engineering	engin
construction studies	construct	30	engineering	engin
electrical engineering	electr engin	674	engineering	engin
engineering management	engin manag	7	engineering	engin
engineering technology	engin technolog	22	engineering	engin
environmental engineering	environment engin	55	engineering	engin
geological engineering	geolog engin	7	engineering	engin
geophysical engineering	geophys engin	2	engineering	engin
industrial engineering	industri engin	124	engineering	engin
industrial management	industri manag	6	engineering	engin
manufacturing engineering	manufactur engin	15	engineering	engin
marine engineering	marin engin	23	engineering	engin
materials engineering	materi engin	29	engineering	engin
materials science	materi	23	engineering	engin
mechanical engineering	mechan engin	837	engineering	engin
metallurgical engineering	metallurg engin	8	engineering	engin
mining engineering	mine engin	15	engineering	engin
nuclear engineering	nuclear engin	13	engineering	engin
petroleum engineering	petroleum engin	20	engineering	engin
chinese	chines	46	foreign languages	languag
english language	english languag	11	foreign languages	languag
