college_major_preprocessed	count	college_major
agricultur product	0	agriculture production
communic technolog	0	communication technology
nuclear technolog	0	nuclear technology
drama educ	0	drama education
miner engin	0	mineral engineering
health administr	0	health administration
area ethnic	0	area ethnic studies
composit	0	composition
religi vocat	0	religious vocations
personnel manag	0	personnel management
industri art	0	industrial arts
communiti organ	0	community organization
construct servic	0	construction services
electr product	0	electrical production
mechan product	0	mechanical production
precis technolog	0	precision technology
precis product	0	precision production
transport technolog	0	transportation technology
agricultur manag	0	agriculture management
consum	1	consumer sciences
dentistri technolog	1	dental technology
court report	1	court reporting
biolog technolog	1	biological technology
data process	1	data processing
consum servic	1	consumer services
art critic	1	art criticism
special need educ	1	special needs education
electr technolog	2	electrical technology
atmospher	2	atmospheric sciences
natur resourc manag	2	natural resources management
mechan technolog	2	mechanical technology
decis	2	decision science
geophys engin	2	geophysical engineering
fire protect	2	fire protection
market research	2	marketing research
archeolog	3	archeology
soil	3	soil science
commerci art	3	commercial art
leisur	3	leisure studies
e commerc	3	e-commerce
intercultur	4	intercultural studies
naval architectur	4	naval architecture
plant	4	plant science
natur resourc	4	natural resources
geoscienc	4	geosciences
radiolog technolog	5	radiology technology
oceanographi	5	oceanography
rhetor	5	rhetoric
industri manag	6	industrial management
comput system	6	computer systems
transport	6	transportation sciences
agricultur econom	6	agricultural economics
geolog engin	7	geological engineering
engin manag	7	engineering management
organiz psycholog	7	organizational psychology
recreat manag	8	recreation management
educ administr	8	educational administration
metallurg engin	8	metallurgical engineering
midwiferi	8	midwifery
health educ	9	health education
social educ	9	social science education
militari	10	military science
meteorolog	11	meteorology
health servic	11	health services
agricultur engin	11	agricultural engineering
biochem	11	biochemical sciences
biopsycholog	12	biopsychology
medicin administr	12	medical administration
compar literatur	12	comparative literature
languag educ	13	language education
nuclear engin	13	nuclear engineering
oper manag	13	operations management
industri technolog	14	industrial technology
agronomi	15	agronomy
manufactur engin	15	manufacturing engineering
mine engin	15	mining engineering
earth	15	earth science
govern	16	government
veterinarian technolog	16	veterinarian technology
adult educ	16	adult education
communiti health	17	community health
biolog engin	17	biological engineering
histori educ	17	history education
social psycholog	17	social psychology
telecommun	17	telecommunications
botani	18	botany
secondari educ	19	secondary education
mathemat educ	19	mathematics education
petroleum engin	20	petroleum engineering
astrophys	20	astrophysics
architectur engin	22	architectural engineering
pharmacolog	22	pharmacology
engin technolog	22	engineering technology
forestri	23	forestry
marin engin	23	marine engineering
materi	23	materials science
comput network	24	computer networking
genet	24	genetics
molecular biolog	25	molecular biology
ecolog	25	ecology
inform	26	information sciences
public polici	26	public policy
industri psycholog	26	industrial psychology
cognit	28	cognitive science
manag inform system	28	management information systems 
materi engin	29	materials engineering
civil	31	civilization studies
comput program	31	computer programming
perform art	32	performing arts
cosmetolog	33	cosmetology
art educ	34	art education
logist	36	logistics
visual art	37	visual arts
librari	37	library science
religi	38	religious studies
astronomi	38	astronomy
educ psycholog	38	educational psychology
famili	40	family sciences
dentistri hygien	40	dental hygiene
industri design	42	industrial design
