Realistic	Investigative	Artisitc	Social	Enterprising	Conventional	College Major
0.15625	0.875	0.8125	0.90625	0.375	0.5625	education
0.53125	0.75	0.90625	0.8125	0.15625	0.28125	Literature
0.3125	0.4375	0.40625	0.375	0.25	0.40625	Math
0.25	0.75	0.5625	0.71875	0.53125	0.375	mathematics and science
0.34375	0.28125	0.5625	0.6875	0.5	0.65625	Counselling
0.125	0.4375	0.59375	0.65625	0.625	0.0625	business
0.5625	0.65625	0.9375	0.90625	0.96875	0.78125	Communication
0.875	0.4375	0.625	0.65625	0.5625	0.875	Information Technology
0.0625	0.03125	0.15625	0.5625	0.03125	0.0	psychology
0.0	0.3125	0.71875	0.65625	0.0625	0.0	music
0.0625	0.375	0.5625	0.9375	0.9375	0.625	literature
0.15625	0.6875	0.0625	0.75	0.25	0.8125	Public Health
0.0	0.375	0.78125	0.59375	0.125	0.0	Graphic Design
0.25	0.34375	0.46875	0.5625	0.4375	0.46875	Social Work
0.5	0.5625	0.65625	0.46875	0.75	0.71875	geography/GIS
0.25	0.625	0.15625	0.125	0.09375	0.625	Sociology
0.65625	0.875	0.65625	0.625	0.28125	0.6875	institute kitchen services
0.0	0.25	0.125	0.375	0.25	0.625	Culinary
0.3125	0.5	0.3125	0.625	0.46875	0.375	Business
0.4375	0.5	0.46875	0.71875	0.40625	0.59375	psychology
0.625	0.1875	0.0625	0.75	0.6875	0.3125	Electronique
0.0	0.0625	0.0	0.5625	0.1875	0.0	Social Work, Counseling
0.25	0.90625	0.8125	0.6875	0.40625	0.5625	Psychology
0.125	0.34375	0.5625	0.84375	0.78125	0.875	IT
0.5625	0.375	0.6875	0.15625	0.0625	0.28125	nursing; health physics; graphics
0.46875	0.5	0.8125	0.65625	0.625	0.40625	Business admin
0.34375	0.5625	0.65625	0.25	0.4375	0.65625	Management
0.0	0.40625	0.28125	0.59375	0.125	0.40625	Nursing
0.15625	0.46875	0.5625	0.53125	0.3125	0.21875	Psychology
0.0625	0.125	0.78125	0.625	0.59375	0.0625	English
0.59375	0.5	0.46875	0.84375	0.25	0.5625	pschology
0.3125	0.9375	0.75	0.6875	0.25	0.6875	Plant Science, Genetics
0.34375	0.5625	0.53125	0.4375	0.28125	0.1875	clinical psychology 
0.09375	0.71875	0.59375	0.59375	0.3125	0.34375	Psychology
0.0625	0.71875	0.59375	0.53125	0.4375	0.28125	English
0.15625	0.875	0.84375	0.71875	0.28125	0.0	foreign language
0.59375	0.5625	0.5	0.875	0.625	1.0	bachelor in math and science elementary educa
0.28125	1.0	0.1875	0.75	0.09375	0.40625	diploma in science
0.125	0.8125	0.46875	0.75	0.625	0.1875	law
0.5	0.625	0.53125	0.3125	0.75	0.34375	economics
0.1875	0.28125	0.4375	0.46875	0.28125	0.3125	business management
0.40625	0.03125	0.28125	0.96875	0.3125	0.09375	computer engineer
