College Major	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
&#1578;&#1580;&#1575;&#1585;&#1577; &#1575;&#	0.125	0.4375	0.9375	0.875	0.8125	0.3125
&#1589;&#1610;&#1583;&#1604;&#1577;	0.15625	0.75	0.75	0.625	0.28125	0.0625
&#1602;&#1575;&#1606;&#1608;&#1606;	0.15625	0.34375	0.625	0.71875	0.21875	0.25
&#24037;&#19994;&#35774;&#35745;	0.09375	0.15625	0.3125	0.28125	0.1875	0.125
&#25991;&#23398;	0.40625	0.375	0.75	0.46875	0.4375	0.75
&#304;nternational relations, marketing	0.25	0.84375	0.53125	0.53125	0.375	0.0625
&#33521;&#35821;	0.40625	0.4375	0.59375	0.5625	0.59375	0.59375
&#3659;journalism	0.125	0.03125	0.96875	0.75	0.46875	0.125
&#36896;&#22290;	0.125	0.71875	0.1875	0.1875	0.15625	0.65625
&#44221;&#50689;	0.125	0.375	0.28125	0.53125	0.625	0.5625
(1) human resources and (2) elementary educat	0.25	0.78125	0.75	0.6875	0.25	0.90625
,==marketing	0.1875	0.96875	0.90625	0.625	0.5	0.46875
-	0.12053571428571429	0.16964285714285715	0.2544642857142857	0.4732142857142857	0.29910714285714285	0.14732142857142858
.education	0.375	0.53125	0.21875	0.6875	0.3125	0.21875
1	0.28125	0.375	0.15625	0.28125	0.21875	0.40625
1.philosophy  2.drama	0.34375	0.71875	0.90625	0.53125	0.3125	0.0625
1st chemistry 2nd nursing	0.8125	1.0	0.90625	0.96875	0.25	0.40625
1st: product design; 2nd: biology	0.125	0.875	0.625	0.53125	0.125	0.28125
21	0.0	0.0	0.0	0.0	0.0	0.0
3 years - math/physics	0.0625	0.40625	0.3125	0.15625	0.1875	0.09375
3d animation	0.3125	0.78125	0.5520833333333334	0.34375	0.3229166666666667	0.5
3d art	0.0	0.0	0.25	0.125	0.0	0.0
3d design	0.109375	0.5625	0.484375	0.65625	0.25	0.109375
3d modeling	0.78125	0.53125	0.71875	0.375	0.25	0.28125
3d modelling and visual effects	0.21875	0.28125	0.59375	0.8125	0.3125	0.3125
3rd world development & envirnmental studies	0.546875	0.546875	0.1875	0.453125	0.296875	0.71875
55	0.28125	0.3125	0.28125	0.21875	0.1875	0.21875
8.1	0.375	0.5625	0.5	0.5	0.90625	0.5625
932	0.09375	0.09375	0.3125	0.9375	0.53125	0.125
:law	0.0	0.03125	0.5625	0.53125	0.5625	0.0
????	0.125	0.21875	0.46875	0.65625	0.5625	0.0625
`economy`	0.3125	0.5625	0.625	0.5625	0.375	0.3125
a levels	0.375	0.6875	0.3125	0.75	0.9375	0.5625
a.a.	0.53125	0.53125	0.46875	0.6875	0.4375	0.25
a.a.s	0.03125	1.0	0.8125	0.59375	0.25	0.0
a.a.s/ a.s.n(current)	0.28125	0.78125	0.15625	0.6875	0.34375	0.59375
a.s. electronic systems	0.0625	0.15625	0.1875	0.4375	0.0	0.125
aa	0.08854166666666667	0.5260416666666666	0.5260416666666666	0.5104166666666666	0.3385416666666667	0.21875
aa degree	0.125	0.21875	0.34375	0.5	0.1875	0.375
aa in liberal arts	0.4166666666666667	0.6666666666666666	0.8333333333333334	0.6979166666666666	0.6458333333333334	0.8125
aa information systems	0.8125	0.6875	0.625	0.875	0.625	0.78125
aacounting	0.25	0.6875	0.40625	0.40625	0.75	0.71875
aas	0.2708333333333333	0.75	0.5416666666666666	0.5416666666666666	0.28125	0.5208333333333334
aas administrative management	0.90625	0.4375	0.6875	0.90625	0.90625	0.9375
aas in physical therapy	0.375	0.75	0.28125	0.0	0.0625	0.0
aboriginal visual arts	0.15625	0.28125	0.125	0.40625	0.0625	0.125
aboult exracting human motivation	0.5	0.53125	0.40625	0.71875	0.5	0.5
academic	0.3125	0.03125	0.5625	0.78125	0.65625	0.90625
academic mathematics	0.5	0.78125	0.40625	0.625	0.625	0.65625
accointing	0.84375	0.625	0.71875	0.96875	0.6875	0.9375
acconting	0.625	0.46875	0.4375	0.6875	0.53125	0.6875
accoumtimg	0.40625	0.59375	0.5	0.71875	0.3125	0.15625
account	0.275	0.271875	0.340625	0.55	0.5	0.5375
accountabt	0.125	0.0	0.125	0.3125	0.8125	1.0
accountancy	0.31893382352941174	0.4338235294117647	0.5174632352941176	0.5749080882352942	0.4954044117647059	0.5698529411764706
accountancy & chemistry	0.46875	0.625	0.4375	0.8125	0.40625	0.8125
accountancy & finance	0.4375	0.53125	0.5	0.8125	0.5	0.8125
accountancy and education	0.1875	0.5625	0.59375	0.6875	0.625	0.5
accountancy and finance	0.21875	0.09375	0.46875	0.5	0.75	0.8125
accountancy, political science	0.0625	0.75	0.6875	0.5625	0.40625	0.34375
accountancy, psychology, business management	0.59375	0.65625	0.59375	0.75	0.53125	0.65625
accountancy/history	0.1875	0.03125	0.28125	0.46875	0.375	0.0625
accountant	0.4114583333333333	0.4548611111111111	0.5503472222222222	0.609375	0.5729166666666666	0.6006944444444444
accountantcy	0.09375	0.3020833333333333	0.3541666666666667	0.5208333333333334	0.6145833333333334	0.6145833333333334
accountig and finance	0.25	0.28125	0.46875	0.71875	0.3125	0.34375
accounting	0.3075	0.4369758064516129	0.41258064516129034	0.5539919354838709	0.463508064516129	0.5712903225806452
accounting & fiannce	0.46875	0.4375	0.5	0.53125	0.53125	0.625
accounting & finance	0.36079545454545453	0.3977272727272727	0.40625	0.5965909090909091	0.5227272727272727	0.5028409090909091
accounting & financial audit	0.25	0.6875	0.46875	0.09375	0.40625	0.5625
accounting & financial management	0.375	0.6875	0.5625	0.4375	0.125	0.40625
accounting & information systems	0.125	0.28125	0.5625	0.40625	0.59375	0.8125
accounting & locksmith	0.59375	0.0	0.5625	0.6875	0.65625	0.8125
accounting & psychology	0.0	0.0	0.0625	0.5	0.21875	0.09375
accounting / business admin	0.09375	0.5625	0.40625	0.59375	0.40625	0.34375
accounting and banking	0.0625	0.46875	0.1875	0.46875	0.25	0.28125
accounting and business administration	0.375	0.59375	0.53125	0.5625	0.46875	0.375
accounting and business finance	0.59375	0.75	0.71875	0.53125	0.75	0.6875
accounting and commercial law	0.21875	0.3125	0.125	0.28125	0.78125	0.53125
accounting and cybersecurity policy	0.5625	0.5	0.28125	0.625	0.5625	0.28125
accounting and data base management	0.5625	0.1875	0.40625	0.53125	0.4375	0.5625
accounting and economice	0.15625	0.625	0.5625	0.65625	0.375	0.3125
accounting and finance	0.3075	0.3875	0.515	0.585	0.56875	0.5325
accounting and finances	0.3125	0.71875	0.59375	0.71875	0.21875	0.40625
accounting and french	0.28125	0.34375	0.28125	0.625	0.4375	0.28125
accounting and library science	0.03125	0.21875	0.4375	0.71875	0.03125	0.0
accounting and management	0.25	0.28125	0.15625	0.65625	0.125	0.71875
accounting and mis	0.09375	0.21875	0.0625	0.09375	0.21875	0.0625
accounting and science	0.59375	0.75	0.625	0.59375	0.84375	0.71875
accounting cpa	0.15625	0.5625	0.6875	0.34375	0.5	0.40625
accounting finance	0.3541666666666667	0.4479166666666667	0.6354166666666666	0.65625	0.5104166666666666	0.6145833333333334
accounting management	0.46875	0.9375	0.8125	0.9375	1.0	1.0
accounting, business administration	0.53125	0.5	0.40625	0.53125	0.34375	0.625
accounting, business law&taxatiob	0.09375	0.0	0.5	0.5625	0.53125	0.25
accounting, commercial law	0.625	0.65625	0.28125	0.625	0.375	0.46875
accounting, economics	0.13541666666666666	0.4270833333333333	0.4270833333333333	0.3645833333333333	0.34375	0.2916666666666667
accounting, education	0.46875	0.6875	0.78125	0.625	0.53125	0.59375
accounting, english, french	0.5625	0.34375	0.4375	0.375	0.6875	0.71875
accounting, finance	0.515625	0.546875	0.296875	0.40625	0.40625	0.609375
accounting, finance, economics	0.453125	0.59375	0.453125	0.640625	0.578125	0.78125
accounting, i regret it	0.5	0.84375	0.46875	0.0625	0.25	0.34375
accounting, management	0.28125	0.78125	0.59375	0.96875	0.3125	0.1875
accounting, mass communication	0.125	0.5	0.96875	0.65625	0.53125	0.53125
accounting, music	0.40625	0.875	0.84375	0.5	0.21875	0.03125
accounting-	0.84375	0.3125	0.4375	0.8125	0.71875	1.0
accounting- business	0.0	0.03125	0.03125	0.0625	0.03125	0.0
accounting/ finanace	0.1875	0.09375	0.21875	0.125	0.90625	0.96875
accounting/ finance	0.15625	0.5625	0.28125	0.1875	0.5	0.75
accounting/leadership	0.03125	0.8125	0.6875	0.21875	0.0	0.0
accounting/psychology	0.0	0.25	0.34375	0.3125	0.03125	0.3125
accounting; education	0.0625	0.0	0.125	0.59375	0.125	0.375
